review,ManualLabelling,date,year,clean_review,before_cleaning,after_cleaning,normalized_review,before_normalizing,after_normalizing,tokenize_review,standardlized_review,before_stopwords,after_stopwords,stopwords_removed_count,stemmed_review,before_stemming,after_stemming
"Tolong di bantu permasalahan nya min, Pas klik tampilkan semua postingan dalam profil saya, ada muncul 4 bar di atas POSTING, KOMENTAR, GAMBAR, REAKSI, ke tiga nya saya klik muncul posting, komentar, gambar itu muncul, kecuali pas saya klik reaksi kok ga muncul min, trs ada notif tertulis HASIL TIDAK DITEMUKAN (kami sedang mengalami gangguan. Sepertinya terjadi kesalahan) COBA LAGI. itu kndala yg saya alami min mohon dibantu, dari segi internet sya bagus kok lancar, buka aplikasi lain lancar.",negatif,2024-08-03,2024,tolong di bantu permasalahan nya min pas klik tampilkan semua postingan dalam profil saya ada muncul bar di atas posting komentar gambar reaksi ke tiga nya saya klik muncul posting komentar gambar itu muncul kecuali pas saya klik reaksi kok ga muncul min trs ada notif tertulis hasil tidak ditemukan kami sedang mengalami gangguan sepertinya terjadi kesalahan coba lagi itu kndala yg saya alami min mohon dibantu dari segi internet sya bagus kok lancar buka aplikasi lain lancar,79,78,tolong di bantu permasalahan nya minimal pas klik tampilkan semua postingan dalam profil saya ada muncul bar di atas posting komentar gambar reaksi ke tiga nya saya klik muncul posting komentar gambar itu muncul kecuali pas saya klik reaksi kok tidak muncul minimal terus ada notif tertulis hasil tidak ditemukan kami sedang mengalami gangguan sepertinya terjadi kesalahan coba lagi itu kendala yang saya alami minimal mohon dibantu dari segi internet saya bagus kok lancar buka aplikasi lain lancar,78,78,"['tolong', 'di', 'bantu', 'permasalahan', 'nya', 'minimal', 'pas', 'klik', 'tampilkan', 'semua', 'postingan', 'dalam', 'profil', 'saya', 'ada', 'muncul', 'bar', 'di', 'atas', 'posting', 'komentar', 'gambar', 'reaksi', 'ke', 'tiga', 'nya', 'saya', 'klik', 'muncul', 'posting', 'komentar', 'gambar', 'itu', 'muncul', 'kecuali', 'pas', 'saya', 'klik', 'reaksi', 'kok', 'tidak', 'muncul', 'minimal', 'terus', 'ada', 'notif', 'tertulis', 'hasil', 'tidak', 'ditemukan', 'kami', 'sedang', 'mengalami', 'gangguan', 'sepertinya', 'terjadi', 'kesalahan', 'coba', 'lagi', 'itu', 'kendala', 'yang', 'saya', 'alami', 'minimal', 'mohon', 'dibantu', 'dari', 'segi', 'internet', 'saya', 'bagus', 'kok', 'lancar', 'buka', 'aplikasi', 'lain', 'lancar']","['tolong', 'bantu', 'permasalahan', 'nya', 'minimal', 'pas', 'klik', 'tampilkan', 'postingan', 'profil', 'muncul', 'bar', 'posting', 'komentar', 'gambar', 'reaksi', 'nya', 'klik', 'muncul', 'posting', 'komentar', 'gambar', 'muncul', 'kecuali', 'pas', 'klik', 'reaksi', 'tidak', 'muncul', 'minimal', 'notif', 'tertulis', 'hasil', 'tidak', 'ditemukan', 'mengalami', 'gangguan', 'kesalahan', 'coba', 'kendala', 'alami', 'minimal', 'mohon', 'dibantu', 'segi', 'internet', 'bagus', 'lancar', 'buka', 'aplikasi', 'lancar']",78,51,27,tolong bantu masalah nya minimal pas klik tampil postingan profil muncul bar posting komentar gambar reaksi nya klik muncul posting komentar gambar muncul kecuali pas klik reaksi tidak muncul minimal notif tulis hasil tidak temu alami ganggu salah coba kendala alami minimal mohon bantu segi internet bagus lancar buka aplikasi lancar,51,51
"Gua udah punya akun 2 kali dan tiba2 ilang semua suruh login lagi, udah di coba kaga bisa2 semakin di update semakin kaga jelas dan tiba2 waktu bisa beberapa waktu lalu akun gua bahasa Mandarin semua-_ gua ngga tau lagi lah jadi takut data gua diambil nih",negatif,2024-08-19,2024,gua udah punya akun kali dan tiba ilang semua suruh login lagi udah di coba kaga bisa semakin di update semakin kaga jelas dan tiba waktu bisa beberapa waktu lalu akun gua bahasa mandarin semua gua ngga tau lagi lah jadi takut data gua diambil nih,47,46,saya sudah punya akun kali dan tiba hilang semua suruh login lagi sudah di coba tidak bisa semakin di diperbarui semakin tidak jelas dan tiba waktu bisa beberapa waktu lalu akun saya bahasa mandarin semua saya tidak tahu lagi lah jadi takut data saya diambil nih,46,46,"['saya', 'sudah', 'punya', 'akun', 'kali', 'dan', 'tiba', 'hilang', 'semua', 'suruh', 'login', 'lagi', 'sudah', 'di', 'coba', 'tidak', 'bisa', 'semakin', 'di', 'diperbarui', 'semakin', 'tidak', 'jelas', 'dan', 'tiba', 'waktu', 'bisa', 'beberapa', 'waktu', 'lalu', 'akun', 'saya', 'bahasa', 'mandarin', 'semua', 'saya', 'tidak', 'tahu', 'lagi', 'lah', 'jadi', 'takut', 'data', 'saya', 'diambil', 'nih']","['akun', 'kali', 'hilang', 'suruh', 'login', 'coba', 'tidak', 'diperbarui', 'tidak', 'akun', 'bahasa', 'mandarin', 'tidak', 'takut', 'data', 'diambil', 'nih']",46,17,29,akun kali hilang suruh login coba tidak baru tidak akun bahasa mandarin tidak takut data ambil nih,17,17
"Saya tidak login sekitar 1 bulan lebih, dan ketika saya mau login harus verifikasi terlebih dahulu. Setelah saya memasukkan password untuk verifikasi email, email dari linkedin tidak ada. Jadi bagaimana caranya saya masuk sementara email dari linkedin tidak dikirim?",negatif,2024-08-16,2024,saya tidak login sekitar bulan lebih dan ketika saya mau login harus verifikasi terlebih dahulu setelah saya memasukkan password untuk verifikasi email email dari linkedin tidak ada jadi bagaimana caranya saya masuk sementara email dari linkedin tidak dikirim,39,38,saya tidak login sekitar bulan lebih dan ketika saya mau login harus verifikasi terlebih dahulu setelah saya memasukkan password untuk verifikasi email email dari linkedin tidak ada jadi bagaimana caranya saya masuk sementara email dari linkedin tidak dikirim,38,38,"['saya', 'tidak', 'login', 'sekitar', 'bulan', 'lebih', 'dan', 'ketika', 'saya', 'mau', 'login', 'harus', 'verifikasi', 'terlebih', 'dahulu', 'setelah', 'saya', 'memasukkan', 'password', 'untuk', 'verifikasi', 'email', 'email', 'dari', 'linkedin', 'tidak', 'ada', 'jadi', 'bagaimana', 'caranya', 'saya', 'masuk', 'sementara', 'email', 'dari', 'linkedin', 'tidak', 'dikirim']","['tidak', 'login', 'login', 'verifikasi', 'memasukkan', 'password', 'verifikasi', 'email', 'email', 'linkedin', 'tidak', 'masuk', 'email', 'linkedin', 'tidak', 'dikirim']",38,16,22,tidak login login verifikasi masuk password verifikasi email email linkedin tidak masuk email linkedin tidak kirim,16,16
"Sesuai arahan banyak info loker disini, dan untungnya belum pernah ada trouble untuk interviewnya, cara masuk ke linknya juga lumayan mudah, kecuali saat menunggu info pemberitahuan sangat lama.",positif,2024-08-26,2024,sesuai arahan banyak info loker disini dan untungnya belum pernah ada trouble untuk interviewnya cara masuk ke linknya juga lumayan mudah kecuali saat menunggu info pemberitahuan sangat lama,28,28,sesuai arahan banyak informasi loker disini dan untungnya belum pernah ada trouble untuk interviewnya cara masuk ke linknya juga lumayan mudah kecuali saat menunggu informasi pemberitahuan sangat lama,28,28,"['sesuai', 'arahan', 'banyak', 'informasi', 'loker', 'disini', 'dan', 'untungnya', 'belum', 'pernah', 'ada', 'trouble', 'untuk', 'interviewnya', 'cara', 'masuk', 'ke', 'linknya', 'juga', 'lumayan', 'mudah', 'kecuali', 'saat', 'menunggu', 'informasi', 'pemberitahuan', 'sangat', 'lama']","['sesuai', 'arahan', 'informasi', 'loker', 'untungnya', 'trouble', 'interviewnya', 'masuk', 'linknya', 'lumayan', 'mudah', 'kecuali', 'menunggu', 'informasi', 'pemberitahuan']",28,15,13,sesuai arah informasi loker untung trouble interviewnya masuk linknya lumayan mudah kecuali tunggu informasi pemberitahuan,15,15
"Suruh verifikasi dengan gambar yang tak jelas,, kenapa tidak menggunakan kode verifikasi aja langsung.. aneh... Ini mah bukan hanya orang lain yang sulit masuk, pemilik akunnya aja kesulitan... Sama aja dengan nyuruh buang akun..",negatif,2024-08-04,2024,suruh verifikasi dengan gambar yang tak jelas kenapa tidak menggunakan kode verifikasi aja langsung aneh ini mah bukan hanya orang lain yang sulit masuk pemilik akunnya aja kesulitan sama aja dengan nyuruh buang akun,34,34,suruh verifikasi dengan gambar yang tidak jelas kenapa tidak menggunakan kode verifikasi saja langsung aneh ini mah bukan hanya orang lain yang sulit masuk pemilik akunnya saja kesulitan sama saja dengan nyuruh buang akun,34,34,"['suruh', 'verifikasi', 'dengan', 'gambar', 'yang', 'tidak', 'jelas', 'kenapa', 'tidak', 'menggunakan', 'kode', 'verifikasi', 'saja', 'langsung', 'aneh', 'ini', 'mah', 'bukan', 'hanya', 'orang', 'lain', 'yang', 'sulit', 'masuk', 'pemilik', 'akunnya', 'saja', 'kesulitan', 'sama', 'saja', 'dengan', 'nyuruh', 'buang', 'akun']","['suruh', 'verifikasi', 'gambar', 'tidak', 'tidak', 'kode', 'verifikasi', 'langsung', 'aneh', 'mah', 'orang', 'sulit', 'masuk', 'pemilik', 'akunnya', 'kesulitan', 'nyuruh', 'buang', 'akun']",34,19,15,suruh verifikasi gambar tidak tidak kode verifikasi langsung aneh mah orang sulit masuk milik akun sulit nyuruh buang akun,19,19
"Menyusahkan. Perkara lupa nulis password, akun baru bikin kena suspend. Opsi login pakai akun google juga tidak bisa. Ketika mau ganti password prosesnya ribet pakai KTP, walau sudah dijalani masih saja tidak bisa reset password. RIP akun universitas, bagus ! Tugas saya tersendat.",negatif,2024-07-31,2024,menyusahkan perkara lupa nulis password akun baru bikin kena suspend opsi login pakai akun google juga tidak bisa ketika mau ganti password prosesnya ribet pakai ktp walau sudah dijalani masih saja tidak bisa reset password rip akun universitas bagus tugas saya tersendat,43,42,menyusahkan perkara lupa nulis password akun baru bikin kena suspend opsi login pakai akun google juga tidak bisa ketika mau ganti password prosesnya rumit pakai ktp walau sudah dijalani masih saja tidak bisa reset password rip akun universitas bagus tugas saya tersendat,42,42,"['menyusahkan', 'perkara', 'lupa', 'nulis', 'password', 'akun', 'baru', 'bikin', 'kena', 'suspend', 'opsi', 'login', 'pakai', 'akun', 'google', 'juga', 'tidak', 'bisa', 'ketika', 'mau', 'ganti', 'password', 'prosesnya', 'rumit', 'pakai', 'ktp', 'walau', 'sudah', 'dijalani', 'masih', 'saja', 'tidak', 'bisa', 'reset', 'password', 'rip', 'akun', 'universitas', 'bagus', 'tugas', 'saya', 'tersendat']","['menyusahkan', 'perkara', 'lupa', 'nulis', 'password', 'akun', 'bikin', 'kena', 'suspend', 'opsi', 'login', 'pakai', 'akun', 'google', 'tidak', 'ganti', 'password', 'prosesnya', 'rumit', 'pakai', 'ktp', 'dijalani', 'tidak', 'reset', 'password', 'rip', 'akun', 'universitas', 'bagus', 'tugas', 'tersendat']",42,31,11,susah perkara lupa nulis password akun bikin kena suspend opsi login pakai akun google tidak ganti password proses rumit pakai ktp jalan tidak reset password rip akun universitas bagus tugas sendat,31,31
"Aplikasi ga jeelassss,.makin lama makin ngebug,.masa mau login suruh verifikasi bagian keamanan,.sudah jelass gambar pilihanya benar,..tetep salah tidak bisa masuk",negatif,2024-06-25,2024,aplikasi ga jeelassss makin lama makin ngebug masa mau login suruh verifikasi bagian keamanan sudah jelass gambar pilihanya benar tetep salah tidak bisa masuk,20,24,aplikasi tidak jeelassss makin lama makin nge bug masa mau login suruh verifikasi bagian keamanan sudah jelass gambar pilihanya benar tetap salah tidak bisa masuk,24,25,"['aplikasi', 'tidak', 'jeelassss', 'makin', 'lama', 'makin', 'nge', 'bug', 'masa', 'mau', 'login', 'suruh', 'verifikasi', 'bagian', 'keamanan', 'sudah', 'jelass', 'gambar', 'pilihanya', 'benar', 'tetap', 'salah', 'tidak', 'bisa', 'masuk']","['aplikasi', 'tidak', 'jeelassss', 'nge', 'bug', 'login', 'suruh', 'verifikasi', 'keamanan', 'jelass', 'gambar', 'pilihanya', 'salah', 'tidak', 'masuk']",25,15,10,aplikasi tidak jeelassss nge bug login suruh verifikasi aman jelass gambar pilihanya salah tidak masuk,15,15
"aplikasi yang top untuk melihat jaringan karier yg lebih luas! appsnya juga semakin bagus, tampilannya oke, ngga ada bug. semoga ada peningkatan di aplikasinya 👍🏻",positif,2024-07-18,2024,aplikasi yang top untuk melihat jaringan karier yg lebih luas appsnya juga semakin bagus tampilannya oke ngga ada bug semoga ada peningkatan di aplikasinya,25,24,aplikasi yang top untuk melihat jaringan karier yang lebih luas aplikasinya juga semakin bagus tampilannya oke tidak ada bug semoga ada peningkatan di aplikasi nya,24,25,"['aplikasi', 'yang', 'top', 'untuk', 'melihat', 'jaringan', 'karier', 'yang', 'lebih', 'luas', 'aplikasinya', 'juga', 'semakin', 'bagus', 'tampilannya', 'oke', 'tidak', 'ada', 'bug', 'semoga', 'ada', 'peningkatan', 'di', 'aplikasi', 'nya']","['aplikasi', 'top', 'jaringan', 'karier', 'luas', 'aplikasinya', 'bagus', 'tampilannya', 'oke', 'tidak', 'bug', 'semoga', 'peningkatan', 'aplikasi', 'nya']",25,15,10,aplikasi top jaring karier luas aplikasi bagus tampil oke tidak bug moga tingkat aplikasi nya,15,15
"Aplikasi LinkedIn logout sendiri dan meminta verifikasi wajah (data privasi rekam wajah). Apa tujuan dari rekam wajah semua sisi, apakah aman perekaman wajah padahal LinkedIn bukan aplikasi perbankan??",negatif,2024-07-19,2024,aplikasi linkedin logout sendiri dan meminta verifikasi wajah data privasi rekam wajah apa tujuan dari rekam wajah semua sisi apakah aman perekaman wajah padahal linkedin bukan aplikasi perbankan,28,28,aplikasi linkedin logout sendiri dan meminta verifikasi wajah data privasi rekam wajah apa tujuan dari rekam wajah semua sisi apakah aman perekaman wajah padahal linkedin bukan aplikasi perbankan,28,28,"['aplikasi', 'linkedin', 'logout', 'sendiri', 'dan', 'meminta', 'verifikasi', 'wajah', 'data', 'privasi', 'rekam', 'wajah', 'apa', 'tujuan', 'dari', 'rekam', 'wajah', 'semua', 'sisi', 'apakah', 'aman', 'perekaman', 'wajah', 'padahal', 'linkedin', 'bukan', 'aplikasi', 'perbankan']","['aplikasi', 'linkedin', 'logout', 'verifikasi', 'wajah', 'data', 'privasi', 'rekam', 'wajah', 'tujuan', 'rekam', 'wajah', 'sisi', 'aman', 'perekaman', 'wajah', 'linkedin', 'aplikasi', 'perbankan']",28,19,9,aplikasi linkedin logout verifikasi wajah data privasi rekam wajah tuju rekam wajah sisi aman rekam wajah linkedin aplikasi perban,19,19
"Verivikasi kenapa ngga pakai nomor telfon atau email yang tertaut,jadinya susah masuk disuruh nebak gambar hadap atas tapi gambar apapun yang dipilih semuanya bener dan hanya gambar terakhir yang selalu salah meskipun udah bener jawabannya itu.tolong diperbaiki untuk memberi kemudahan akses,bukan mempersulit!!!",negatif,2024-08-14,2024,verivikasi kenapa ngga pakai nomor telfon atau email yang tertaut jadinya susah masuk disuruh nebak gambar hadap atas tapi gambar apapun yang dipilih semuanya bener dan hanya gambar terakhir yang selalu salah meskipun udah bener jawabannya itu tolong diperbaiki untuk memberi kemudahan akses bukan mempersulit,42,45,verivikasi kenapa tidak pakai nomor telpon atau email yang tertaut jadinya susah masuk disuruh nebak gambar hadap atas tapi gambar apapun yang dipilih semuanya benar dan hanya gambar terakhir yang selalu salah meskipun sudah benar jawabannya itu tolong di perbaiki untuk memberi kemudahan akses bukan mempersulit,45,46,"['verivikasi', 'kenapa', 'tidak', 'pakai', 'nomor', 'telpon', 'atau', 'email', 'yang', 'tertaut', 'jadinya', 'susah', 'masuk', 'disuruh', 'nebak', 'gambar', 'hadap', 'atas', 'tapi', 'gambar', 'apapun', 'yang', 'dipilih', 'semuanya', 'benar', 'dan', 'hanya', 'gambar', 'terakhir', 'yang', 'selalu', 'salah', 'meskipun', 'sudah', 'benar', 'jawabannya', 'itu', 'tolong', 'di', 'perbaiki', 'untuk', 'memberi', 'kemudahan', 'akses', 'bukan', 'mempersulit']","['verivikasi', 'tidak', 'pakai', 'nomor', 'telpon', 'email', 'tertaut', 'susah', 'masuk', 'disuruh', 'nebak', 'gambar', 'hadap', 'gambar', 'apapun', 'dipilih', 'gambar', 'salah', 'jawabannya', 'tolong', 'perbaiki', 'kemudahan', 'akses', 'mempersulit']",46,24,22,verivikasi tidak pakai nomor telpon email taut susah masuk suruh nebak gambar hadap gambar apa pilih gambar salah jawab tolong baik mudah akses sulit,24,24
